COLOR YELLOW
PA SKY
DOT 0.09 55.65 
DOT 0.17 -14.40 
DOT 0.24 -10.91 
DOT 0.27 -16.99 
DOT 0.32 8.78 
DOT 0.33 41.89 
DOT 0.38 11.03 
DOT 0.39 52.97 
DOT 0.56 31.66 
DOT 0.59 -14.11 
DOT 0.61 -7.73 
DOT 0.78 18.16 
DOT 0.79 -14.68 
DOT 0.89 -15.28 
DOT 0.92 13.11 
DOT 0.93 -11.86 
DOT 0.94 -11.14 
DOT 1.01 6.12 
DOT 1.04 17.30 
DOT 1.17 12.82 
DOT 1.24 12.81 
DOT 1.28 64.54 
DOT 1.42 19.84 
DOT 1.48 31.66 
DOT 1.50 16.16 
DOT 1.52 18.14 
